Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1992,1840221.7120199546,1699722.600542718,2764179.414647445,785829.4505365076,2533848.0436895387,1275500.0780496523,2294852.31814873,1206725.4106628937,1564020.2983173574,2663983.5392389363,1933921.787787343,2943660.0498980563,2877775.947769113,2016198.907613026,2031666.2735386603,1715486.403815565,1874005.0421129218
1993,2010176.5013785798,1863164.6647885619,2952563.775421746,825762.5977654805,2802095.515193146,1302449.929721165,2525787.989868076,1349087.5964099278,1739412.9512997956,2774319.849336493,1995631.5861858642,3068473.5319311116,3082420.5119578904,2156781.8825241597,2097072.4449126464,1812903.722935332,1960558.8825967226
1994,1980952.6773415161,1801569.8363083755,2867896.348721479,837552.5596977673,2810607.564214049,1292611.0685847322,2519620.9822138487,1356035.0448174754,1664693.1483717067,2754500.2800926524,1994399.0952916532,3136464.1637541126,3106743.810091447,2136201.02377499,2125179.868592537,1875096.5850917518,1958586.5514167729
1995,1947150.011829224,1884799.4594456037,2915467.37570636,865377.5695478211,2834801.857847973,1354997.1683482134,2542224.2591999527,1383996.3573119836,1739417.2068113564,2826998.9343937263,2069385.1526039757,3152531.5449753837,3204875.0406689486,2180868.8851645268,2188094.867116075,1883134.30412275,1993616.0643889387
1996,1900208.595092108,1743051.9863173435,2776719.328971028,794274.002386353,2648953.9724823,1271400.350176265,2425357.005008947,1295979.191011074,1636296.5259634173,2607661.525182802,1965333.330567254,3003149.165355923,2969890.4217961184,2012990.2994818063,2079822.7041100468,1785321.3122072632,1931318.200690905
1997,1944116.4239467613,1853149.0636873213,2896854.177070435,862908.2309316002,2762197.490395775,1321913.4509203061,2549944.671828443,1391982.8641131362,1749369.2577548458,2804677.1297245324,2047399.2229787237,3129088.5481285728,3166613.692208104,2118789.605826833,2129681.8275657757,1851063.9030707306,1995984.6901252696
1998,2051145.2770910887,2031745.2559032452,2983526.7473070226,939971.6440152288,2951219.376900454,1403213.5149231055,2633283.756007356,1458326.282678464,1819091.1566115834,2968011.5885458784,2130732.569478188,3292174.523928765,3273361.9475521017,2286871.449672347,2228159.149899132,1959316.2187582166,2069945.684146846
1999,1941966.1961623412,1872494.6619972978,2874630.2510438915,882310.8071148475,2813714.8665799284,1349043.2407339022,2524651.2255201847,1371829.3650068445,1723717.2818341828,2838090.9862171574,2095610.2031494786,3181603.3259129426,3145469.308389801,2192278.717557677,2240524.912268303,1876921.920393846,2011803.4943612614
2000,1931228.0860882234,1840916.2107482564,2842239.038059357,847049.1260284992,2681136.1976334583,1387231.3787168902,2428740.978805513,1339769.289787877,1683191.3220685238,2797542.478161918,2047439.8990784232,3060069.9261466404,2992057.2381197046,2131643.6824440886,2205052.2006193083,1827762.640277084,1995151.665407069
2001,2068158.140542685,1924114.9786240028,2917200.6543569313,924910.2904572706,2811053.6246568537,1409347.0076423269,2564639.8986334912,1439118.3547837539,1755862.269808052,2895544.5795965176,2120766.9342439845,3256226.636498147,3175102.456577555,2187410.7147531053,2227881.974295224,1889261.3368485398,2023876.3630783265
2002,1927697.4606948444,1800455.6307957047,2797139.472582885,847567.5934131693,2726628.9268590417,1358427.0804161774,2446967.351988365,1356152.5441593572,1682832.547366723,2763656.371268741,2042857.977906962,3097395.081524601,3056695.100877125,2085577.1368599054,2125077.4039330827,1821986.882097005,1968139.1031450294
2003,2007930.8482897938,1918236.6369198624,3049023.825555838,920563.8599591026,2924120.6717448495,1432001.70974175,2611189.59778926,1468719.7484498248,1751608.3262282636,2884960.382256856,2133080.054756831,3274771.2688293452,3192974.227301785,2224957.2420766456,2202538.7950868644,1910435.196302878,2033036.6425629533
2004,2057569.7972670584,1850087.1617688127,2840630.6884882543,856132.9007847668,2790668.63902116,1435166.9238111265,2533092.814908739,1386875.7915903537,1698060.1400908453,2878524.4912903826,2053329.1368996005,3143041.697217314,3084435.6146022566,2196128.7037884006,2196845.8031181004,1866416.8474459401,2029755.6223221761
2005,2138852.7830334352,2030473.7034588668,3166120.1073272196,950084.7698906064,3004761.177771081,1504337.4272725992,2752687.0858853883,1528882.9440107625,1876293.5266232942,3123477.25468227,2226246.718422761,3387095.7665909505,3351596.5271622017,2318481.0765986145,2336569.6085497322,1961233.038616714,2097507.621138771
2006,2131939.7434127904,1990403.5879617701,3124501.6530822394,968795.9253439982,3023849.7003428307,1497206.0847858402,2776808.4494571956,1550744.9659419777,1819614.911075101,3090724.2573383134,2178801.168706703,3433524.9566472853,3367892.1390925045,2331798.679090155,2358365.639260892,1989087.6645921306,2085019.960910767
2007,2055582.3887644042,1977069.200362579,3066343.681928402,928550.987635911,2870319.8991770376,1488932.552954291,2629410.3609521156,1464089.1073529785,1781053.5308091065,3031901.7089352305,2169800.789925549,3280742.6074934765,3167079.203584369,2273968.1812190004,2323478.3292954713,1935320.068270748,2107089.667288027
2008,2115406.6856559715,1901845.1899846238,2958527.8856420796,901238.7597873426,2859583.8337985086,1473851.7199034304,2603326.8479540176,1449186.9451172412,1769976.2563613658,2997566.786123411,2137596.5614307877,3233517.356594175,3174985.3297851398,2191218.5482163103,2254450.4171260246,1897310.6685027552,2065939.9437467684
2009,2120677.8984004334,1861671.5339471628,2944791.545101454,888975.7747162681,2862631.5819399003,1516937.1760103474,2603522.403770027,1481994.265460747,1779845.1543471974,3003744.472286937,2130559.671920022,3237991.0136720072,3236109.5698056887,2204816.9942165622,2257593.456316434,1894785.9357199485,2071219.3932313086
2010,2080280.3666026122,2051499.2491473567,3230805.5422843695,976559.2675860485,3098288.002631356,1559791.609555651,2729267.4332716926,1540593.479406526,1887065.4730886505,3165301.6028707884,2241277.378105442,3405170.2457780517,3303865.0574042266,2389694.3443440143,2380926.4627918717,1994592.5573554935,2201171.875237784
2011,2125205.4959586533,1995165.1878315909,3129345.7976938556,937678.9226545567,3015008.8074571635,1541905.3682376263,2707335.66487376,1552800.434612854,1876130.8840821492,3094289.4868704644,2234431.3014069526,3366464.3671087567,3320329.1581869735,2326111.919203426,2385234.881429376,1965505.8806198118,2166751.2414809694
2012,2148070.1934678266,1998045.2036778005,3141183.9897440607,954668.4336087903,3028350.5725661214,1558110.5082941381,2738698.2272044187,1547336.993591389,1791759.4069048313,3116480.1867717793,2230770.6063361615,3412859.0067381877,3311729.8280691816,2301249.708902097,2356629.9521272765,1970169.8908454338,2144195.4745475636
2013,2084214.0348678455,1989517.780276312,3137776.4751293594,952209.3123518367,2987482.3412737204,1568774.853308371,2725970.2989895456,1584517.7689192356,1846230.7333265252,3076272.933103002,2225313.1036398066,3337742.351477202,3416160.442374327,2299919.39221177,2326338.9893830842,1980141.5259310678,2163056.183851095
2014,2143222.3300999706,1991824.1777735515,3191022.0148775266,945031.5667934406,3058511.497235737,1586310.6725821279,2744624.7594692293,1579542.9117998155,1848129.812917009,3104512.6962455856,2277573.6116503286,3407250.122893898,3395654.3927603895,2314537.4550881973,2334499.255957314,1978812.3935667155,2174489.8554071775
2015,2206107.2593416134,2033208.5379062663,3240103.581384319,958556.2574476987,3097000.7927317354,1633592.8001475462,2766483.9457166586,1525975.6459706514,1875193.2601250538,3172397.1428375375,2295804.425013542,3461566.6239790404,3361127.0285100397,2408237.0247687954,2422335.9612005716,1986356.7801215528,2191748.224082226
2016,2358922.472258932,2213653.361606679,3395351.058904352,1055856.1700399166,3245075.8658137033,1707319.6679253362,2876236.7896005213,1690803.572556203,2002312.6228001034,3369300.8387975073,2384580.134956625,3590960.9189017788,3553181.872422865,2532852.899874417,2549971.5166373104,2077790.2404805482,2265889.7543278704
2017,2134570.911793436,1919276.1000895207,3093571.205335561,943607.9889782211,3046874.311889788,1584873.1216473537,2719901.317727956,1542366.8207471536,1856883.5267194381,3126767.2058103094,2226456.236587041,3427493.695462506,3343426.2500165687,2329047.6143827625,2374501.458646057,1984463.6644022444,2150055.5181575427
2018,2057322.32348656,1955528.834989045,3141081.1361936983,974697.9991478634,2924098.486751508,1621682.4903106513,2619723.088273971,1553698.1261849506,1808489.0646207184,3079508.6960953167,2225617.0254454818,3321159.306811146,3283368.1341275163,2322608.9443002213,2333801.692119401,1944856.9258397187,2129470.234677322
2019,2124768.681321095,1971429.5318338093,3218770.3716820325,961607.8784605496,3089037.8488151887,1641037.9846827495,2751620.8173054154,1575147.8826396682,1910734.4619200607,3207601.980171732,2260047.7501116954,3406480.265885437,3335465.6121439384,2385776.5428657937,2362121.220648563,1972694.1027002416,2188877.7037390196
2020,2133979.3277180367,1992002.2855698797,3173885.418791949,962840.416306353,3063232.4196715225,1639277.808006879,2706292.2968267538,1615804.553246105,1872496.0862659148,3206881.312232931,2226658.2977537457,3376173.1391687696,3310029.187533175,2329457.079863118,2400042.8216309166,1967412.7502953322,2193945.7545278566
2021,2170233.2362415106,1975396.5210885918,3158573.3722300595,994716.6236578338,3072030.1440209555,1634056.9580120146,2660798.092670937,1601370.4619563944,1854851.0685556275,3164226.2663959395,2256451.423852233,3413093.1334017282,3331536.7299807193,2342954.1559051517,2414723.8445866415,1999314.9880143902,2180548.5098404135
2022,2173109.5184928146,1995351.356618753,3246149.491194894,996258.0654707896,3111510.636471972,1657204.6489643713,2827624.3789316523,1675057.564484441,1872609.737655446,3206175.9917575875,2282573.781172807,3482593.1574885612,3419699.2086093524,2363424.0656541605,2458820.214680074,2015811.0293428837,2231418.3286564844
