Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1996,5746089.722188886,7682996.01868682,8394229.904744463,5529343.896579023,8475304.674782977,6821308.27416083,6981017.205525355,6736568.026482609,4693222.776404534,8412826.935134068,6239561.084506055,9745044.874294698,9087012.004030883,8757514.192772262,7269818.921308885,7139309.664662856,8928027.46266464
1997,6167591.1618394805,8228304.779993825,8744957.753623195,5677903.187145431,8810385.140776604,7181632.486426206,7380576.813968385,7071659.735656098,5191533.144028276,8816612.224065663,6735805.698091447,10160984.539980466,9697210.58940075,9418805.212855924,7396760.180515515,7437358.0763801895,9279983.827673443
1998,6291207.849700058,8294544.131581164,8715200.667916937,5731732.484883621,8874367.499444187,7217769.622906793,7287966.855916572,7264759.986365253,5347141.999287711,9096089.05048187,6505719.121332917,10130771.540585883,9618387.708953895,9563067.243458264,7422824.034019319,7470033.727836097,9297865.247454122
1999,5803478.272846892,8214683.647739468,8694915.398803938,5916608.512938789,8839750.030450715,7192737.478338027,7471463.445469476,7130997.3929085275,5235998.965323834,8952913.14740507,6593964.079785782,10218897.31951397,9652752.891931836,9571097.504169455,7647642.290775089,7459072.096728247,9274006.107667077
2000,5915683.829772101,8216007.776068272,8663059.336668206,5781565.20180239,8678483.801140416,7254730.2666289415,7497890.697366074,6934178.6252128165,4921291.1524557965,8687297.825265514,6373175.990177106,10121093.327784706,9342188.398620488,9140263.561397478,7402555.533139856,7286184.455255711,9125585.82534439
2001,5955066.780098077,8183598.533018698,8696081.865505148,5848082.2003613375,8751864.482248027,7296768.969403479,7564269.751556778,7124714.342884014,5069842.844453815,8805443.985522222,6520168.039412671,10117687.83308474,9482324.77265897,9274199.837708354,7498909.998505596,7488829.667233469,9227577.714032404
2002,5810637.803122014,7985089.005357799,8439768.864090145,5819126.578458751,8496341.809687795,6987682.8154531345,7196059.45818143,6936621.0896223,4842959.326698383,8560216.184115255,6401605.208127903,9933080.251299353,9122793.314065877,9060921.268463023,7391422.799959921,7329632.568061775,9134083.005489243
2003,6064270.7040105015,7920031.331401828,8440196.436627753,5880051.899643186,8498714.120925168,7031049.226574585,7487510.745111492,7180909.6372031635,5170449.634215504,8657905.187183745,6532285.249488039,10228769.342540564,9369258.845412048,9219437.300310029,7447085.018222032,7548456.582833851,9271990.411446124
2004,6467320.589014043,8759151.155499293,9089948.822291497,6033999.7684954405,9270607.150270298,7772889.43411715,7740024.73541061,7708463.321813873,5776066.285995075,9435921.991578389,7029671.732933763,10698549.388811516,10235617.7411775,9871796.164306678,7815970.066792989,7805684.347202184,9756480.264586538
2005,6271321.9491897635,8319047.129522944,9018012.917223928,6035754.578167302,9293042.323074842,7562225.680265715,7483648.788724984,7305279.971543066,5509233.513683766,9204489.599743927,6792277.527878989,10508949.607958134,10133889.453027045,9856486.886845862,7892536.4520976385,7795778.79222471,9604199.25538664
2006,5891269.102160113,8098541.823910549,8781734.97798883,6094268.986277559,8997354.286125802,7263059.809022948,7501217.378511766,7163567.1341374805,5010159.427599456,8962252.30969162,6695552.989360022,10326010.647846349,9655076.917268973,9285225.172025071,7795825.81213013,7577608.342807191,9256934.501852205
2007,6382422.374403,8552327.60574603,8940269.051440295,6302281.581486699,9026444.606867129,7316057.452626879,7387567.330125151,7367267.732714838,5132280.6132384855,9114396.611537728,6854907.493953611,10651501.29592321,9879601.862967685,9849843.206566207,8015916.762316922,7853942.800017745,9646320.314235363
2008,6058908.742213612,8395403.379152253,8858315.463418562,6033672.139351174,9011149.56365478,7546812.770365625,7483439.274671317,7258830.394619131,5217243.158464426,9102993.65537364,6792064.756877077,10486951.112351062,9755489.068970118,9359588.14300847,7771729.151269986,7567000.527848663,9434847.844800726
2009,6274049.03221955,8212667.291678837,8904006.242903087,6055809.952363662,8988183.955493787,7587062.097527727,7624352.482671731,7179489.698703213,5280234.5978128705,9090404.401031876,6736687.960834676,10327380.330719382,9746296.614157401,9436023.999851057,7843045.785095041,7507512.299291663,9445378.297007557
2010,6427575.484724028,8565253.208506951,9099335.832688514,6251167.057095127,9169417.832833521,7535363.910055805,7451442.72506294,7595568.68450601,5898807.461807451,9484121.16403911,6985332.70176179,10643705.389294986,9987576.594170898,10019329.058794405,8257555.181096622,7982866.249245048,9853321.413083462
2011,6101934.197596462,8240835.468413461,8941754.164820418,6125380.386337949,8817272.113277711,7443647.242019829,7537000.644029498,7214169.628921704,5515220.338117996,9235361.416933673,6697205.3259769445,10255526.590550378,9781813.489224648,9433569.892960275,8017320.987986384,7504388.866003431,9605442.024063043
2012,6030521.639906935,8298212.920498712,8887597.435473353,6320831.685469903,9060216.69717098,7359394.61761453,7385255.216086403,7231512.870503943,4927483.228552911,9080623.306167305,6765890.709577106,10588581.152597107,9555722.320432993,9270771.52596584,8062254.042440476,7736146.096948624,9515704.461602002
2013,6366338.131371913,8256202.138876269,8884084.34555925,6274322.279656401,9015899.928208156,7634581.393308998,7575609.840439959,7621676.487742257,5711067.845520204,9351424.007443408,6880842.860801116,10523191.261893747,9604213.671533147,9483772.729603365,8203927.513240311,7694604.887927487,9756760.907833666
2014,6580179.790839409,8684166.816596555,9178794.676951759,6336331.32475078,9434323.33535353,7905852.613241328,7671279.824168179,7797731.270633545,5580966.266789055,9492305.188773386,7189402.652081737,10829928.682750544,10198257.857510205,9887453.833368596,8262836.281063607,7907776.399798146,9871101.587145796
2015,6546546.543870134,8650149.359644946,9237209.400712335,6434385.337833591,9490202.247400183,7668857.074697376,7579801.853895934,7636637.255230075,5446601.229766386,9311276.94363474,7270674.131826747,11010711.988945678,10234711.573937412,10081387.861885576,8347795.115435472,8119509.467163455,9985910.98998103
2016,6807423.042260937,9137051.937937181,9391359.802608984,6580608.543848177,9678158.086365469,8078777.070589612,7834796.478680901,7995087.868417434,6007636.702940607,9764145.709094249,7346859.353438061,11163599.946104463,10668247.576678244,10495860.345011026,8564087.615822118,8101803.613371853,10205026.888956726
2017,6593903.307095773,8711790.25798457,9239812.6600659,6491076.07213835,9524090.856923027,8143141.063827958,7749946.566059097,7879728.67215915,5751179.16076141,9717687.806437716,7147525.582248484,11011790.162744729,10358995.582765173,10030368.850560047,8450987.674393222,7950385.973752093,9951474.152377997
2018,6284999.04329353,8468404.084162015,9042001.750450563,6572646.110609145,9158430.696825443,7721567.353811579,7558106.419601358,7765151.175956594,5476081.080461353,9302458.315404257,6996629.365597809,10604803.998368025,9938039.488819981,9740242.329580195,8331650.307968095,7808792.545310658,9978904.653057663
2019,6339175.213040685,8601139.776580513,9196370.829404183,6446146.928458396,9503618.055252694,7974360.299207214,7862847.235927781,7804428.738108376,5842015.440528244,9464445.84907699,7187790.079949804,10868333.661365725,10192243.370075023,9993889.570854643,8396317.78096685,7932108.258245716,9987276.48545392
2020,6621537.607975106,8630919.535734963,9273500.375446826,6430579.977211588,9410649.037203008,8160168.381824285,7655499.188358742,7684814.921553897,5435120.439206063,9437567.44735105,6977074.88645645,10722989.710218485,9999690.274509441,9772085.014034692,8251708.940380858,7739440.209620614,9791516.580120103
2021,6634575.756685957,8567774.272220522,9048923.373477401,6555875.812527809,9411841.045776706,8016532.760652287,7693575.031484496,7980601.685242661,5667055.448352096,9379744.619764391,7047147.208999963,10861043.737930495,9785164.091828816,9626333.713822994,8517819.634783115,7854949.1962061785,9882032.88809168
2022,6249581.660160766,8234498.415398309,8930368.92896164,6446953.531943712,9092605.278702058,7610524.513367448,7658432.4565975005,7412428.357846696,5188256.953203946,9015845.55899624,6884192.6851306865,10780830.230970418,9573589.157218654,9447991.247096896,8213219.568214333,7658401.818415865,9626297.20121868
